District,Total,Land,Inland waters
Sri Lanka,65610,62705,"2,905"
Western Province,3684,3593,91
Colombo,699,676,23
Gampaha,"1,387",1341,46
Kalutara,"1,598",1576,22
Central Province,"5,674",5575,99
Kandy,"1,940",1917,23
Matale,"1,993",1952,41
Nuwara Eliya,"1,741",1706,35
Southern Province,"5,544",5383,161
Galle,"1,652",1617,35
Matara,"1,283",1270,13
Hambantota,"2,609",2496,113
Northern Province,8884,8290,594
Jaffna,"1,025",929,96
Mannar,"1,996",1880,116
Vavuniya,"1,891",1787,104
Mullaitivu,"2,693",2489,204
Kilinochchi,"1,279",1205,74
Eastern Province,"9,996",9361,635
Batticaloa,"2,854",2610,244
Ampara,"4,415",4222,193
Trincomalee,"2,727",2529,198
North-Western Province,7888,7506,382
Kurunegala,"4,816",4624,192
Puttalam,"3,072",2882,190
North Central Province,"10,472",9741,731
Anuradhapura,"7,179",6664,515
Polonnaruwa,"3,293",3077,216
Uva Province,"8,500",8335,165
Badulla,"2,861",2827,34
Monaragala,"5,639",5508,131
Sabaragamuwa Province,4968,4921,47
Ratnapura,"3,275",3236,39
Kegalle,"1,693",1685,8
