District,Total,Year
Sri Lanka,21803000,2019
Colombo,2448000,2019
Gampaha,2417000,2019
Kalutara,1284000,2019
Kandy,1476000,2019
Matale,522000,2019
Nuwara Eliya,768000,2019
Galle,1130000,2019
Matara,863000,2019
Hambantota,661000,2019
Jaffna,617000,2019
Kilinochchi,129000,2019
Mannar,111000,2019
Vavuniya,189000,2019
Mullaitivu,97000,2019
Batticaloa,575000,2019
Ampara,728000,2019
Trincomalee,426000,2019
Kurunegala,1719000,2019
Puttalam,832000,2019
Anuradhapura,937000,2019
Polonnaruwa,440000,2019
Badulla,880000,2019
Monaragala,496000,2019
Ratnapura,1171000,2019
Kegalle,887000,2019
Sri Lanka,21919000,2020
Colombo,2455000,2020
Gampaha,2423000,2020
Kalutara,1287000,2020
Kandy,1483000,2020
Matale,525000,2020
Nuwara Eliya,773000,2020
Galle,1135000,2020
Matara,866000,2020
Hambantota,668000,2020
Jaffna,621000,2020
Kilinochchi,130000,2020
Mannar,112000,2020
Vavuniya,191000,2020
Mullaitivu,98000,2020
Batticaloa,579000,2020
Ampara,736000,2020
Trincomalee,431000,2020
Kurunegala,1726000,2020
Puttalam,837000,2020
Anuradhapura,943000,2020
Polonnaruwa,443000,2020
Badulla,886000,2020
Monaragala,501000,2020
Ratnapura,1179000,2020
Kegalle,891000,2020
Sri Lanka,22156000,2021
Colombo,2480000,2021
Gampaha,2443000,2021
Kalutara,1296000,2021
Kandy,1501000,2021
Matale,530000,2021
Nuwara Eliya,780000,2021
Galle,1147000,2021
Matara,873000,2021
Hambantota,676000,2021
Jaffna,626000,2021
Kilinochchi,133000,2021
Mannar,114000,2021
Vavuniya,194000,2021
Mullaitivu,98000,2021
Batticaloa,590000,2021
Ampara,752000,2021
Trincomalee,441000,2021
Kurunegala,1743000,2021
Puttalam,849000,2021
Anuradhapura,954000,2021
Polonnaruwa,448000,2021
Badulla,895000,2021
Monaragala,505000,2021
Ratnapura,1190000,2021
Kegalle,898000,2021
Sri Lanka,22181000,2022
Colombo,2478000,2022
Gampaha,2439000,2022
Kalutara,1292000,2022
Kandy,1499000,2022
Matale,530000,2022
Nuwara Eliya,783000,2022
Galle,1147000,2022
Matara,874000,2022
Hambantota,681000,2022
Jaffna,629000,2022
Kilinochchi,135000,2022
Mannar,115000,2022
Vavuniya,195000,2022
Mullaitivu,99000,2022
Batticaloa,590000,2022
Ampara,754000,2022
Trincomalee,444000,2022
Kurunegala,1742000,2022
Puttalam,850000,2022
Anuradhapura,957000,2022
Polonnaruwa,449000,2022
Badulla,899000,2022
Monaragala,509000,2022
Ratnapura,1193000,2022
Kegalle,898000,2022
Sri Lanka,22037000,2023
Colombo,2460000,2023
Gampaha,2421000,2023
Kalutara,1279000,2023
Kandy,1482000,2023
Matale,525000,2023
Nuwara Eliya,781000,2023
Galle,1139000,2023
Matara,869000,2023
Hambantota,680000,2023
Jaffna,628000,2023
Kilinochchi,136000,2023
Mannar,116000,2023
Vavuniya,196000,2023
Mullaitivu,99000,2023
Batticaloa,582000,2023
Ampara,749000,2023
Trincomalee,443000,2023
Kurunegala,1727000,2023
Puttalam,845000,2023
Anuradhapura,950000,2023
Polonnaruwa,445000,2023
Badulla,896000,2023
Monaragala,509000,2023
Ratnapura,1188000,2023
Kegalle,892000,2023
