current_date,hcho_reading,temperature_2m_max,temperature_2m_min,temperature_2m_mean,shortwave_radiation_sum,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,et0_fao_evapotranspiration,elevation
2019-01-01,0.00019698343957810148,30.0,23.1,26.1,19.77,0.0,0.0,0.0,14.4,29.9,4.58,16.0
2019-01-02,0.00026255221719685945,29.4,22.7,25.7,21.45,0.0,0.0,0.0,16.6,31.0,5.19,16.0
2019-01-03,9.852118897938794e-05,30.2,22.6,26.1,21.68,0.0,0.0,0.0,16.0,31.0,5.21,16.0
2019-01-04,0.0002099320518114242,30.6,22.3,26.0,22.95,0.0,0.0,0.0,16.9,35.6,5.22,16.0
2019-01-05,0.00017853372988929305,31.1,22.6,26.4,21.65,0.0,0.0,0.0,16.8,32.4,5.01,16.0
2019-01-06,0.00010822967002356709,30.5,22.7,26.2,21.52,0.0,0.0,0.0,16.0,29.5,4.75,16.0
2019-01-07,0.0003680863948475429,31.5,22.3,26.8,20.07,0.0,0.0,0.0,12.0,23.0,4.54,16.0
2019-01-08,9.153156350685351e-05,31.7,23.5,27.4,21.04,0.0,0.0,0.0,13.7,30.6,4.9,16.0
2019-01-09,0.00012059789928530154,32.5,23.2,27.6,21.13,0.0,0.0,0.0,10.2,25.2,4.71,16.0
2019-01-10,0.00012977235629832586,32.3,23.8,27.7,20.01,0.3,0.3,2.0,10.3,23.8,4.46,16.0
2019-01-11,0.00022391881668012785,32.3,23.9,27.6,19.08,9.6,9.6,9.0,13.4,31.3,4.62,16.0
2019-01-12,0.00015694180941787597,30.9,24.0,27.3,16.6,0.8,0.8,5.0,13.5,30.6,3.97,16.0
2019-01-13,0.00015694180941787597,31.8,24.5,26.9,16.89,7.6,7.6,6.0,13.0,28.4,3.89,16.0
2019-01-14,0.00013362919068626037,31.0,24.4,27.1,17.81,6.2,6.2,5.0,14.9,29.2,3.99,16.0
2019-01-15,6.374417842690063e-05,31.3,24.2,27.4,18.48,0.5,0.5,2.0,13.7,25.6,4.45,16.0
2019-01-16,0.00011810622508150202,31.4,23.6,27.2,18.72,0.7,0.7,2.0,16.7,32.0,4.52,16.0
2019-01-17,0.00024725552224230375,31.7,22.5,26.7,23.92,0.0,0.0,0.0,18.6,35.3,5.94,16.0
2019-01-18,3.667525352047757e-05,30.9,22.0,26.2,22.11,0.0,0.0,0.0,16.1,32.8,5.73,16.0
2019-01-19,0.0003680863948475429,31.0,21.8,26.1,22.66,0.0,0.0,0.0,16.2,31.7,5.74,16.0
2019-01-20,0.00016878562164797227,31.4,21.9,26.4,19.13,0.0,0.0,0.0,15.1,28.1,4.33,16.0
2019-01-21,0.0003680863948475429,31.4,22.5,26.6,21.11,0.0,0.0,0.0,10.1,24.8,4.62,16.0
2019-01-22,0.0003282922940445869,31.8,23.3,27.1,23.63,0.0,0.0,0.0,12.6,27.4,5.23,16.0
2019-01-23,0.00021477981446919994,32.9,22.9,27.8,23.94,0.0,0.0,0.0,11.4,24.8,5.24,16.0
2019-01-24,0.0002347245196410463,32.9,23.3,27.7,21.7,0.0,0.0,0.0,11.2,24.1,4.82,16.0
2019-01-25,0.0002820915300341781,31.9,24.3,27.7,20.38,0.1,0.1,1.0,10.3,23.4,4.42,16.0
2019-01-26,0.00025072634930884313,33.1,24.0,27.8,20.93,1.4,1.4,7.0,12.1,27.0,4.59,16.0
2019-01-27,0.00019732884353144639,30.6,23.8,26.9,20.36,2.5,2.5,12.0,10.9,28.8,4.3,16.0
2019-01-28,0.0002555121674807678,31.3,23.3,26.9,20.63,0.3,0.3,2.0,14.5,32.4,4.47,16.0
2019-01-29,0.0002555121674807678,33.6,23.2,28.2,23.76,0.0,0.0,0.0,10.0,27.0,5.33,16.0
2019-01-30,0.00017136357360104896,33.7,24.0,28.2,23.01,0.0,0.0,0.0,14.9,32.4,5.68,16.0
2019-01-31,0.00015238021190236035,34.4,24.3,28.8,23.84,0.0,0.0,0.0,9.8,26.3,5.54,16.0
2019-02-01,0.0003537610010169976,34.2,24.4,28.7,24.31,0.0,0.0,0.0,14.2,31.3,5.61,16.0
2019-02-02,0.00027557289956433526,33.0,24.4,28.4,20.89,0.1,0.1,1.0,11.4,27.7,4.86,16.0
2019-02-03,0.000231884649807831,32.6,25.1,28.3,18.98,4.8,4.8,7.0,9.1,27.7,4.27,16.0
2019-02-04,0.000231884649807831,31.7,24.1,26.5,15.63,26.3,26.3,10.0,7.3,24.5,3.31,16.0
2019-02-05,0.0003618487680796534,30.5,24.1,26.3,16.28,11.5,11.5,11.0,6.5,20.5,3.39,16.0
2019-02-06,0.00034306636315394306,31.0,23.9,26.7,17.78,7.3,7.3,9.0,7.6,24.5,3.66,16.0
2019-02-07,0.0002123314538243048,30.5,23.9,26.8,20.34,1.3,1.3,2.0,8.4,23.8,4.13,16.0
2019-02-08,0.0001679798012516793,30.1,23.9,26.2,18.76,17.2,17.2,10.0,13.8,29.2,3.7,16.0
