hcho_reading,current_date,next_date
8.829725542537962e-05,2019-01-01,2019-01-02
0.00013707874027782185,2019-01-02,2019-01-03
0.0001480085027113037,2019-01-03,2019-01-04
-2.046379059735541e-06,2019-01-04,2019-01-05
0.0002489134742856164,2019-01-05,2019-01-06
0.00010155833001770782,2019-01-06,2019-01-07
0.00019190566681902724,2019-01-07,2019-01-08
0.00012155004561388685,2019-01-08,2019-01-09
9.741700467262773e-05,2019-01-09,2019-01-10
0.00011303426280120108,2019-01-10,2019-01-11
7.047632943988818e-05,2019-01-11,2019-01-12
0.0001691712548577679,2019-01-12,2019-01-13
,2019-01-13,2019-01-14
,2019-01-14,2019-01-15
8.792493954777681e-05,2019-01-15,2019-01-16
6.834336052834083e-05,2019-01-16,2019-01-17
0.00013806247978490952,2019-01-17,2019-01-18
0.00017382233094526332,2019-01-18,2019-01-19
0.0004428761270622924,2019-01-19,2019-01-20
9.756178281847059e-05,2019-01-20,2019-01-21
0.00019597891944758412,2019-01-21,2019-01-22
0.0002374446632005548,2019-01-22,2019-01-23
0.0001623734482581754,2019-01-23,2019-01-24
0.0003623356418718673,2019-01-24,2019-01-25
0.00012785216527853735,2019-01-25,2019-01-26
0.00016604364391048623,2019-01-26,2019-01-27
0.00014999656662541432,2019-01-27,2019-01-28
0.00010804992542427686,2019-01-28,2019-01-29
0.00011581419000969629,2019-01-29,2019-01-30
0.0001113523173507818,2019-01-30,2019-01-31
2.449285979142846e-05,2019-01-31,2019-02-01
0.0001926267275908041,2019-02-01,2019-02-02
4.824408500716178e-05,2019-02-02,2019-02-03
-3.6669306209120476e-05,2019-02-03,2019-02-04
,2019-02-04,2019-02-05
,2019-02-05,2019-02-06
0.0001913403998944045,2019-02-06,2019-02-07
0.00029476620470321175,2019-02-07,2019-02-08
0.00029700685990974307,2019-02-08,2019-02-09
,2019-02-09,2019-02-10
7.523556172334847e-05,2019-02-10,2019-02-11
0.0001297080667525631,2019-02-11,2019-02-12
6.270259499786078e-05,2019-02-12,2019-02-13
8.990000185560485e-05,2019-02-13,2019-02-14
7.931416535107657e-05,2019-02-14,2019-02-15
6.0740207710781725e-05,2019-02-15,2019-02-16
,2019-02-16,2019-02-17
0.00015017120953517022,2019-02-17,2019-02-18
0.00020172585062888597,2019-02-18,2019-02-19
0.0002586245505792206,2019-02-19,2019-02-20
8.79509593267587e-05,2019-02-20,2019-02-21
0.00014645464815482445,2019-02-21,2019-02-22
0.0001375125401253748,2019-02-22,2019-02-23
0.00040782767379402793,2019-02-23,2019-02-24
0.00023619835396066546,2019-02-24,2019-02-25
8.145316466296842e-05,2019-02-25,2019-02-26
0.00017967359936723644,2019-02-26,2019-02-27
0.00023227365805588484,2019-02-27,2019-02-28
,2019-02-28,2019-03-01
,2019-03-01,2019-03-02
0.00022620310944142184,2019-03-02,2019-03-03
0.00012598668893637125,2019-03-03,2019-03-04
0.00017145443134682076,2019-03-04,2019-03-05
0.00013420285270373836,2019-03-05,2019-03-06
0.0001580027758568156,2019-03-06,2019-03-07
0.00018920686578255378,2019-03-07,2019-03-08
0.00010394256569430244,2019-03-08,2019-03-09
,2019-03-09,2019-03-10
0.0001568034910526609,2019-03-10,2019-03-11
0.00025453703414873364,2019-03-11,2019-03-12
0.00016623092922887905,2019-03-12,2019-03-13
0.0003549058798361384,2019-03-13,2019-03-14
0.0002650971419890203,2019-03-14,2019-03-15
0.0002519274524677995,2019-03-15,2019-03-16
0.00015086742490081717,2019-03-16,2019-03-17
0.0001988515444004105,2019-03-17,2019-03-18
0.00010313165491341297,2019-03-18,2019-03-19
0.00022914396635518206,2019-03-19,2019-03-20
0.00022452136854552015,2019-03-20,2019-03-21
,2019-03-21,2019-03-22
0.0002345326298606485,2019-03-22,2019-03-23
0.0002848332356072509,2019-03-23,2019-03-24
0.00019851071341557309,2019-03-24,2019-03-25
0.00019216819110264114,2019-03-25,2019-03-26
0.0002917578396021135,2019-03-26,2019-03-27
0.0004375629936587657,2019-03-27,2019-03-28
0.00020765751672967284,2019-03-28,2019-03-29
0.0003537468371026577,2019-03-29,2019-03-30
0.00031558411507226296,2019-03-30,2019-03-31
0.00020051283542875755,2019-03-31,2019-04-01
0.0001913736846052141,2019-04-01,2019-04-02
0.00022925926735999742,2019-04-02,2019-04-03
0.0001856483874482169,2019-04-03,2019-04-04
0.0001997694690952999,2019-04-04,2019-04-05
0.00019864757209323556,2019-04-05,2019-04-06
0.00020383357077437053,2019-04-06,2019-04-07
0.0002632298358881271,2019-04-07,2019-04-08
0.0002901479325215971,2019-04-08,2019-04-09
0.00016451799472138207,2019-04-09,2019-04-10
0.0001457744638877626,2019-04-10,2019-04-11
,2019-04-11,2019-04-12
0.00023470977033008788,2019-04-12,2019-04-13
0.0002282964378382696,2019-04-13,2019-04-14
,2019-04-14,2019-04-15
,2019-04-15,2019-04-16
,2019-04-16,2019-04-17
,2019-04-17,2019-04-18
0.0002162962247226598,2019-04-18,2019-04-19
0.00025959179786596344,2019-04-19,2019-04-20
,2019-04-20,2019-04-21
0.00013015419113522302,2019-04-21,2019-04-22
0.00018446799862472822,2019-04-22,2019-04-23
0.00021394095367596302,2019-04-23,2019-04-24
0.0001655682962151846,2019-04-24,2019-04-25
0.0004791311803273857,2019-04-25,2019-04-26
0.00015144795179367065,2019-04-26,2019-04-27
,2019-04-27,2019-04-28
0.00019330940487097904,2019-04-28,2019-04-29
,2019-04-29,2019-04-30
,2019-04-30,2019-05-01
0.00015750819496264105,2019-05-01,2019-05-02
0.0001803331106202677,2019-05-02,2019-05-03
,2019-05-03,2019-05-04
0.0002185603449485414,2019-05-04,2019-05-05
8.02505700569093e-05,2019-05-05,2019-05-06
0.0001420565734228215,2019-05-06,2019-05-07
0.00016501232196064518,2019-05-07,2019-05-08
0.00014602771523159627,2019-05-08,2019-05-09
0.00014932882958527567,2019-05-09,2019-05-10
0.00020577181665172245,2019-05-10,2019-05-11
0.00016410327750091499,2019-05-11,2019-05-12
0.0001183245679523513,2019-05-12,2019-05-13
0.00013296117546708006,2019-05-13,2019-05-14
7.061668788806564e-05,2019-05-14,2019-05-15
0.00010999835996254973,2019-05-15,2019-05-16
0.00014039193757000868,2019-05-16,2019-05-17
9.796423680909052e-05,2019-05-17,2019-05-18
0.00016722526903820248,2019-05-18,2019-05-19
0.00017087345324338506,2019-05-19,2019-05-20
0.0001702025749611697,2019-05-20,2019-05-21
8.681519324789669e-05,2019-05-21,2019-05-22
,2019-05-22,2019-05-23
0.0001317915208436206,2019-05-23,2019-05-24
0.00014784690510264307,2019-05-24,2019-05-25
5.233601288103446e-05,2019-05-25,2019-05-26
6.244214568722449e-05,2019-05-26,2019-05-27
0.00015547205356952415,2019-05-27,2019-05-28
0.00014783384786294968,2019-05-28,2019-05-29
0.0002594716110907922,2019-05-29,2019-05-30
0.00018395379879048186,2019-05-30,2019-05-31
0.00013622199727340525,2019-05-31,2019-06-01
0.0002902893225200317,2019-06-01,2019-06-02
8.689925325647776e-05,2019-06-02,2019-06-03
5.326767952292086e-05,2019-06-03,2019-06-04
-0.00012181236525066198,2019-06-04,2019-06-05
0.000183130856214247,2019-06-05,2019-06-06
0.0001107527266757357,2019-06-06,2019-06-07
,2019-06-07,2019-06-08
0.00010162823907485461,2019-06-08,2019-06-09
0.00010312257570992356,2019-06-09,2019-06-10
7.052022641624787e-05,2019-06-10,2019-06-11
,2019-06-11,2019-06-12
7.641586794332751e-05,2019-06-12,2019-06-13
9.911230747740838e-05,2019-06-13,2019-06-14
4.476508603528659e-05,2019-06-14,2019-06-15
8.874790674644237e-05,2019-06-15,2019-06-16
0.00010368980471823836,2019-06-16,2019-06-17
6.254904112252405e-05,2019-06-17,2019-06-18
4.044776585398717e-05,2019-06-18,2019-06-19
8.137699574065275e-05,2019-06-19,2019-06-20
6.486313851680483e-05,2019-06-20,2019-06-21
,2019-06-21,2019-06-22
6.276923714177916e-05,2019-06-22,2019-06-23
3.975250153742814e-06,2019-06-23,2019-06-24
2.350395803767515e-05,2019-06-24,2019-06-25
,2019-06-25,2019-06-26
,2019-06-26,2019-06-27
9.21571666151843e-05,2019-06-27,2019-06-28
6.881439911210648e-05,2019-06-28,2019-06-29
