location,population,year,area,population_density
Colombo Proper,2448000,2019,676,3621.3
Kandy Proper,1476000,2019,1917,769.95
Nuwara Eliya Proper,768000,2019,1706,450.18
"Deniyaya, Matara",863000,2019,1270,679.53
Jaffna Proper,617000,2019,929,664.16
Kurunegala Proper,1719000,2019,4624,371.76
"Bibile, Monaragala",496000,2019,5508,90.05
Colombo Proper,2455000,2020,676,3631.66
Kandy Proper,1483000,2020,1917,773.6
Nuwara Eliya Proper,773000,2020,1706,453.11
"Deniyaya, Matara",866000,2020,1270,681.89
Jaffna Proper,621000,2020,929,668.46
Kurunegala Proper,1726000,2020,4624,373.27
"Bibile, Monaragala",501000,2020,5508,90.96
Colombo Proper,2480000,2021,676,3668.64
Kandy Proper,1501000,2021,1917,782.99
Nuwara Eliya Proper,780000,2021,1706,457.21
"Deniyaya, Matara",873000,2021,1270,687.4
Jaffna Proper,626000,2021,929,673.84
Kurunegala Proper,1743000,2021,4624,376.95
"Bibile, Monaragala",505000,2021,5508,91.68
Colombo Proper,2478000,2022,676,3665.68
Kandy Proper,1499000,2022,1917,781.95
Nuwara Eliya Proper,783000,2022,1706,458.97
"Deniyaya, Matara",874000,2022,1270,688.19
Jaffna Proper,629000,2022,929,677.07
Kurunegala Proper,1742000,2022,4624,376.73
"Bibile, Monaragala",509000,2022,5508,92.41
Colombo Proper,2460000,2023,676,3639.05
Kandy Proper,1482000,2023,1917,773.08
Nuwara Eliya Proper,781000,2023,1706,457.8
"Deniyaya, Matara",869000,2023,1270,684.25
Jaffna Proper,628000,2023,929,676.0
Kurunegala Proper,1727000,2023,4624,373.49
"Bibile, Monaragala",509000,2023,5508,92.41
